String,Authors,Year,Title,Series,Suffix,DOI
"Huys, R. & K.A. Willems. (1993). A revision of Cylinula and two new species of Cylindropsyllus (Copepoda, Harpacticoida, Cylindropsyllidae). <em>Zoologica Scripta.</em> 22(4): 347-362.","Huys, R. & K.A. Willems",1993,"A revision of Cylinula and two new species of Cylindropsyllus (Copepoda, Harpacticoida, Cylindropsyllidae).",Zoologica Scripta,22(4): 347-362,10.1111/j.1463-6409.1993.tb00364.x
"Lorenzen, S. (1977). Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee. <em>Veroff. Inst. Meeresforsch. Bremerh.</em> 16: 197-261.","Lorenzen, S.",1977,Revision der Xyalidae (freilebende Nematoden) auf der Grundlage einer kritischen Analyse von 56 Arten aus Nord- und Ostsee,Veroff. Inst. Meeresforsch. Bremerh.,16: 197-261,
"López-González, P.J.; Grinyo, J.; Gili, J.-M. (2012). Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae). <em>Marine Biology Research.</em> 8(7): 594-604.","López-González, P.J.; Grinyo, J.; Gili, J.-M.",2012,"Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae)",Marine Biology Research,8(7): 594-604,
"Vanreusel, A.; Vincx, M. (1986). Four new species of the genus Perepsilonema Lorenzen, 1973 (Nematoda, Epsilonematidae) from the bay of Calvi (Corsica, Mediterranean). <em>Hydrobiologia.</em> 134(2): 151-169.","Vanreusel, A.; Vincx, M.",1986,"Four new species of the genus Perepsilonema Lorenzen, 1973 (Nematoda, Epsilonematidae) from the bay of Calvi (Corsica, Mediterranean)",Hydrobiologia,134(2): 151-169,10.1007/bf00006738
"Thulin, G. (1957). Über einige Spioniden (Polychaeta) aus dem Öresund. <em>Kungliga Fysiografiska sällskapets i Lund Förhandlingar.</em> 27(5): 49-59.","Thulin, G.",1957,Über einige Spioniden (Polychaeta) aus dem Öresund.,Kungliga Fysiografiska sällskapets i Lund Förhandlingar,27(5): 49-59,
"Klie, W. (1929). Die Copepoda Harpacticoida der südlichen und westlichen Ostsee mit besonderer Berücksichtigung der Sandfauna der Kieler Bucht. <em>Zoologische Jahrbücher, Abteilung fur Systematik, Ökologie und Geographie der Tiere.</em> 57 (3-4): 329-386, figs. 1-72. (8-iv-1929).","Klie, W.",1929,Die Copepoda Harpacticoida der südlichen und westlichen Ostsee mit besonderer Berücksichtigung der Sandfauna der Kieler Bucht.,"Zoologische Jahrbücher, Abteilung fur Systematik, Ökologie und Geographie der Tiere","57 (3-4): 329-386, figs. 1-72. (8-iv-1929)",
"Adams, H. (1867). Descriptions of new species of shells collected by Geoffrey Nevill, Esq., at Mauritius. <em>Proceedings of the Zoological Society of London.</em> 1867: 303-307, pl. 19.","Adams, H.",1867,"Descriptions of new species of shells collected by Geoffrey Nevill, Esq., at Mauritius.",Proceedings of the Zoological Society of London,"1867: 303-307, pl. 19",
"Sars, G.O. (1900). Crustacea. <em>Scientific Results of the Norwegian North Polar Expedition 1893-1896.</em> 1(5):1-141, pls. 1-36.","Sars, G. O.",1900,Crustacea,Scientific Results of the Norwegian North Polar Expedition 1893-1896,"1(5):1-141, pls. 1-36",
"Adam, W. (1933). Notes sur les Céphalopodes: 3. Les Céphalopodes du sud de la mer du Nord [Notes on the cephalopods: 3. The cephalopods of the southern North Sea]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 9 (46): 1-45.","Adam, W.",1933,Notes sur les Céphalopodes: 3. Les Céphalopodes du sud de la mer du Nord [Notes on the cephalopods: 3. The cephalopods of the southern North Sea],Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,9 (46): 1-45,
"Rudolphi, K. A. (1803). Neue Beobachtungen über die Eingeweidewürmer. <em>Archiv für Zoologie und Zootomie.</em> 3(1): 1-32.","Rudolphi, K. A.",1803,Neue Beobachtungen über die Eingeweidewürmer.,Archiv für Zoologie und Zootomie,3(1): 1-32,
"Gravenhorst, J.L.C. (1806). Monographia Coleopterorum Micropterorum. <em>Typis Henrici Dieterich: Gottingae.</em> XVI, 1 pl., 236 pp.","Gravenhorst, J.L.C.",1806,Monographia Coleopterorum Micropterorum.,Typis Henrici Dieterich: Gottingae.,"XVI, 1 pl., 236 pp.",
"Macpherson, E. (2013). New species and new occurences of squat lobsters (Crustacea, Decapoda, Munididae, Eumunididae) from French Polynesia. <em>In: Ahyong S. T., Chan T.-Y., Corbari L. & Ng P.K.L. (eds), Tropical Deep-Sea Benthos 27. Mémoires du Muséum national d'Histoire naturelle.</em> 204: 287-309.","Macpherson, E.",2013,"New species and new occurences of squat lobsters (Crustacea, Decapoda, Munididae, Eumunididae) from French Polynesia","In: Ahyong S. T., Chan T.-Y., Corbari L. & Ng P.K.L. (eds), Tropical Deep-Sea Benthos 27. Mémoires du Muséum national d’Histoire naturelle",204: 287-309,
"Le Roux, A. (2009). Aperçu de la faune des xylophages marins du golfe du Morbihan. <em>Bulletin de la Société des sciences naturelles de l'Ouest de la France.</em> 31(2): 75-83.","Le Roux, A.",2009,Aperçu de la faune des xylophages marins du golfe du Morbihan,Bulletin de la Société des sciences naturelles de l'Ouest de la France,31(2): 75-83,
"Hendrickx, M.E.; Landa-Jaime, V. (1997). A new species of Parthenope Weber (Crustacea: Brachyura: Parthenopidae) from the Pacifc coast of Mexico. <em>Bulletin de l'Institut Royal des Sciences naturelles de Belgique (Biologie).</em> 67: 95-100.","Hendrickx, M.E.; Landa-Jaime, V.",1997,A new species of Parthenope Weber (Crustacea: Brachyura: Parthenopidae) from the Pacifc coast of Mexico,Bulletin de l’Institut Royal des Sciences naturelles de Belgique (Biologie),67: 95-100,
"Schrieken, B.; Swennen, C. (1969). <i>Atherina mochon</i> cuv., a second species of sand smelt (pisces, atherinidae) from dutch coastal waters. <em>Netherlands Journal of Sea Research.</em> 4(3): 372-375.","Schrieken, B.; Swennen, C.",1969,"<i>Atherina mochon</i> cuv., a second species of sand smelt (pisces, atherinidae) from dutch coastal waters",Netherlands Journal of Sea Research,4(3): 372-375,10.1016/0077-7579(69)90008-8
"Tattersall, W. M. (1911). Schizopodous Crustacea from the northeast Atlantic slope. <em>Second supplement. Fisheries, Ireland, Sci. Invest. 1910.</em> II: 1-77, plates I-VIII.","Tattersall, W. M.",1911,Schizopodous Crustacea from the northeast Atlantic slope,"Second supplement. Fisheries, Ireland, Sci. Invest. 1910","II: 1-77, plates I-VIII",
"Fritsch, K. (1899). Beitrag zur flora von Constantinopel. I. Kryptogamen. <em>Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math.</em> 68: 219-250.","Fritsch, K.",1899,Beitrag zur flora von Constantinopel. I. Kryptogamen,Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math,68: 219-250,
"Mulsant, É.; Rey, C. (1853). Description de quelques coléoptères nouveaux ou peu connus, de la tribu des brachélytres. <em>Opuscules Entomologiques Deuxième cahier.</em> 35-85, pl. I-II.","Mulsant, É.; Rey, C",1853,"Description de quelques coléoptères nouveaux ou peu connus, de la tribu des brachélytres.",Opuscules Entomologiques Deuxième cahier,"35-85, pl. I-II",
"Goren, M.; Galil, B. S. (1989). <i>Petroscirtes ancylodon</i>: First Lessepsian migrant blenny in the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 36: 125-128.","Goren, M.; Galil, B. S.",1989,<i>Petroscirtes ancylodon</i>: First Lessepsian migrant blenny in the eastern Mediterranean,Israel Journal of Zoology,36: 125-128,
"Petkovski, T.K. (1959). O rasproskajenju vrste Heterocope u Jugoslaviji (Crustacea Copepoda). <em>Croatian Journal of Fisheries : Ribarstvo, (also Hydrobiologia Montenegrina vol. 1 no. 8, 4pp.).</em> 14(4):91-92, 93-94.","Petkovski, T.K.",1959,O rasproskajenju vrste Heterocope u Jugoslaviji (Crustacea Copepoda),"Croatian Journal of Fisheries : Ribarstvo, (also Hydrobiologia Montenegrina vol. 1 no. 8, 4pp.)","14(4):91-92, 93-94.",
"Fricke, R. (1993). Pisces Teleostei: Callionymidae of New Caledonia with descriptions of new species. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 11. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 158: 361-376.","Fricke, R.",1993,Pisces Teleostei: Callionymidae of New Caledonia with descriptions of new species,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 11. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",158: 361-376,
"Kaplan, G. (1958). Premières observations sur les gastrotriches  psammophiles des côtes du Calvados. <em>Archives de zoologie expérimentale et générale.</em> 1: 27-37.","Kaplan, G.",1958,Premières observations sur les gastrotriches  psammophiles des côtes du Calvados.,Archives de zoologie expérimentale et générale.,1: 27-37.,
"Sars, G.O. (1910). Copepoda Harpacticoida. Parts XXIX & XXX. Tachidiidae (concluded), Metidae, Balaenophilidae, supplement (part). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen.</em> 5:337-368, pls. 225-230, suppl. pls. 1-10.","Sars, G.O.",1910,"Copepoda Harpacticoida. Parts XXIX & XXX. Tachidiidae (concluded), Metidae, Balaenophilidae, supplement (part).","An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen","5:337-368, pls. 225-230, suppl. pls. 1-10.",
"Andrássy, I. (1976). Evolution as a basis for the systematization of nematodes. <em>Pitman Publishing Ltd.</em> 287pp.","Andrássy, I.",1976,Evolution as a basis for the systematization of nematodes.,Pitman Publishing Ltd.,287pp.,
"Huys, R. & J.M. Gee. (1993). A revision of Danielssenia Boeck and Psammis Sars with the establishment of two new genera Archisenia and Bathypsammis (Harpacticoida: Paranannopinae). Bulletin of the British Museum (Natural History), Zoology 59(1):45-81, figs. 1-23. (24.vi.1993)","Huys, R. & J.M. Gee",1993,A revision of Danielssenia Boeck and Psammis Sars with the establishment of two new genera Archisenia and Bathypsammis (Harpacticoida: Paranannopinae).,"Bulletin of the British Museum (Natural History), Zoology","59(1):45-81, figs. 1-23. (24.vi.1993)",
"Huys, R. (2008). Heterolaophonte Lang, 1948 (Crustacea, Copepoda, Harpacticoida): proposed precedence over Mesolaophonte Nicholls, 1941 and Monolaophonte Nicholls, 1941 (Case 3471). Bulletin of Zoological Nomenclature. 65(4):282-287.","Huys, R.",2008,"Heterolaophonte Lang, 1948 (Crustacea, Copepoda, Harpacticoida): proposed precedence over Mesolaophonte Nicholls, 1941 and Monolaophonte Nicholls, 1941 (Case 3471).",Bulletin of Zoological Nomenclature,65(4):282-287.,
"Davie, P. J. F. (1997). Crustacea Decapoda: Deep water Xanthoidea from the South-Western Pacific and the Western Indian Ocean. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176: 337-387.","Davie, P. J. F.",1997,Crustacea Decapoda: Deep water Xanthoidea from the South-Western Pacific and the Western Indian Ocean,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",176: 337-387,
"Chappuis, P.A. & M. Serban. (1953). Copépodes de la nappe phréatique de la plage d'Agigea près Constanza. Notes Biospéologiques 8:91-102, figs. 1-21.","Chappuis, P.A. & M. Serban",1953,Copépodes de la nappe phréatique de la plage d'Agigea près Constanza.,Notes Biospéologiques,"8:91-102, figs. 1-21.",
"Omodeo, P.; Vaillaud, M. (1967). Les Oligochetes de la savane de Gpakobo en Cote d'Ivoire. <em>Bulletin de l'Institut fondamental d'Afrique noire. Series A: Sciences naturelles.</em> 29(3): 925-944.","Omodeo, P.; Vaillaud, M.",1967,Les Oligochetes de la savane de Gpakobo en Cote d'Ivoire.,Bulletin de l'Institut fondamental d'Afrique noire. Series A: Sciences naturelles,29(3): 925-944.,
"De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor België en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.","De_blauwe, H.",2009,Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor België en Nederland,"Vlaams Instituut voor de Zee, Oostende",464,
"Lazzari, G.; Rinaldi, E. (1994). Alcune considerazioni sulla presenza di specie extra mediterranee nelle lagune salmastre di Ravenna. <em>Bollettino Malacologico.</em> 30(5-9):  195-202.","Lazzari, G.; Rinaldi, E.",1994,Alcune considerazioni sulla presenza di specie extra mediterranee nelle lagune salmastre di Ravenna,Bollettino Malacologico,30(5-9):  195-202,
"Pirlot, J. M. (1935). Un grand Amphipode Hypéride, nouveau comme genre et comme espèce. <em>Bulletin de l'Institut Océanographique, Monaco.</em> 681: 1-8.","Pirlot, J. M.",1935,"Un grand Amphipode Hypéride, nouveau comme genre et comme espèce","Bulletin de l'Institut Océanographique, Monaco",681: 1-8,
"Davoult, D. (2002). Faune et flore du littoral du Pas-de-Calais et de la Manche orientale: mise à jour de la liste des espèces d'Echinodermes [Fauna and flora of the Pas-de-Calais coast and the eastern English Channel: review of the echinoderm species list]. <em>Rev. Trav. Stat. Mar. Wimereux.</em> 2001(24): 1-3.","Davoult, D.",2002,Faune et flore du littoral du Pas-de-Calais et de la Manche orientale: mise à jour de la liste des espèces d'Echinodermes [Fauna and flora of the Pas-de-Calais coast and the eastern English Channel: review of the echinoderm species list],Rev. Trav. Stat. Mar. Wimereux,2001(24): 1-3,
"(2010). Bedreiging voor biodiversiteit. Indicatoren voor het Schelde-estuarium. <em>Opgemaakt in opdracht van Afdeling Maritieme Toegang, projectgroep EcoWaMorSe, Vlaams Nederlandse Scheldecommissie. VLIZ Information Sheets, 200. Vlaams Instituut voor de Zee (VLIZ): Oostende.</em> 7 pp.",,2010,Bedreiging voor biodiversiteit. Indicatoren voor het Schelde-estuarium,"Opgemaakt in opdracht van Afdeling Maritieme Toegang, projectgroep EcoWaMorSe, Vlaams Nederlandse Scheldecommissie. VLIZ Information Sheets, 200. Vlaams Instituut voor de Zee (VLIZ): Oostende",7 pp,
"Houart, R. (2005). Description of a new species of <i>Favartia</i> (Gastropoda: Muricidae: Muricopsinae) from Brazil. <em>Novapex.</em> 6 (1-2): 41-44.","Houart, R.",2005,Description of a new species of <i>Favartia</i> (Gastropoda: Muricidae: Muricopsinae) from Brazil,Novapex,6 (1-2): 41-44,
"Huys, R., J. Llewellyn-Hughes, S. Conroy-Dalton, P.D. Olson, J.N. Spinks & D.A. Johnston. (2007). Extraordinary host switching in siphonostomatoid copepods and the demise of the Monstrilloida: Integrating molecular data, ontogeny and antennulary morphology. <em>Molecular Phylogenetics and Evolution.</em> 43(2): 368-378.","Huys, R., J. Llewellyn-Hughes, S. Conroy-Dalton, P.D. Olson, J.N. Spinks & D.A. Johnston",2007,"Extraordinary host switching in siphonostomatoid copepods and the demise of the Monstrilloida: Integrating molecular data, ontogeny and antennulary morphology.",Molecular Phylogenetics and Evolution,43(2): 368-378,10.1016/j.ympev.2007.02.004
"Schmidt, H. E. (1973). Hydromedusae from the eastern Mediterranean Sea. <em>Israel Journal of  Zoology.</em> 22(2):151-167.","Schmidt, H. E.",1973,Hydromedusae from the eastern Mediterranean Sea,Israel Journal of  Zoology,22(2):151-167,10.1080/00212210.1973.10688388
"Van Soest, R.W.M.; Díaz, M.C.; Pomponi, S.A. (1990). Phylogenetic classification of the halichondrids (Porifera, Demospongiae). <em>Beaufortia.</em> 40 (2): 15-62.","Van Soest, R.W.M.; Díaz, M.C.; Pomponi, S.A.",1990,"Phylogenetic classification of the halichondrids (Porifera, Demospongiae).",Beaufortia,40 (2): 15-62,
"Ax, P. (1954). Zwei neue Monocelididae (Turbellaria Proseriata) aus dem Eulitoral der Nord- und Ostsee. <em>Kieler Meeresforschungen.</em> 10: 229-242.","Ax, P.",1954,Zwei neue Monocelididae (Turbellaria Proseriata) aus dem Eulitoral der Nord- und Ostsee,Kieler Meeresforschungen,10: 229-242,
"Bruce, A.J. (1985). Decapod Crustacea: Pontoniinae (MUSORSTOM II). <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 229-260.","Bruce, A.J.",1985,Decapod Crustacea: Pontoniinae (MUSORSTOM II),"in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",133: 229-260,
"Murina, G.; Pancucci-Papadopoulou, M.; Zenetos, A. (1999). The phylum <i>Sipuncula</i> in the eastern Mediterranean: composition, ecology, zoogeography. <em>Journal of the Marine Biological Association of the UK.</em> 79(5): 821-830.","Murina, G.; Pancucci-Papadopoulou, M.; Zenetos, A.",1999,"The phylum <i>Sipuncula</i> in the eastern Mediterranean: composition, ecology, zoogeography",Journal of the Marine Biological Association of the UK,79(5): 821-830,10.1017/s002531549800099x
"Rützler, K.; Smith, P. (1992). Guide to western Atlantic species of Cinachyrella (Poriferea: Tetillidae). Proceedings of the Biological Society of Washington, 105(1): 148-164","Rützler, K.; Smith, P.",1992,Guide to western Atlantic species of Cinachyrella (Poriferea: Tetillidae),Proceedings of the Biological Society of Washington,105(1): 148-164,
"Back, J., R. Huys & W. Lee. (2010). A New Species of the Genus Tegastes (Copepoda: Harpacticoida: Tegastidae) from Hydrothermal Vents in the Okinawa Trough. <em>Zoological Science.</em> 27(8): 678-688.","Back, J., R. Huys & W. Lee",2010,A New Species of the Genus Tegastes (Copepoda: Harpacticoida: Tegastidae) from Hydrothermal Vents in the Okinawa Trough,Zoological Science,27(8): 678-688,10.2108/zsj.27.678
