String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Dautzenberg, P. (1896). Description de deux espèces nouvelles de <i>Bulimulus</i>. <em>Journal de Conchyliolgie.</em> 44: 222-225.","Dautzenberg, P.",1896,Description de deux espèces nouvelles de <i>Bulimulus</i>.,,Journal de Conchyliolgie,,,44,,222-225,,,
"Topsent, E. (1899). Document sur la faune des Spongiaires des Côtes de Belgique. <em>Archives de Biologie.</em> 16: 105-115.","Topsent, E.",1899,Document sur la faune des Spongiaires des Côtes de Belgique.,,Archives de Biologie,,,16,,105-115,,,
"Fritsch, K. (1899). Beitrag zur flora von Constantinopel. I. Kryptogamen. <em>Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math.</em> 68: 219-250.","Fritsch, K.",1899,Beitrag zur flora von Constantinopel. I. Kryptogamen,,Denkschriften der kaiserlichen Akademie der Wissenschaften zu Wien Math,,,68,,219-250,,,
"Bellet, D. (1899). La culture des huitres perlieres en Italie. <em>La Nature (Paris: Masson).</em> 27(1355): 375.","Bellet, D.",1899,La culture des huitres perlieres en Italie,,La Nature (Paris: Masson),,,27,1355,375,,,
"Monterosato, T. A. di. (1900). Coquilles marines de Chypre. <em>Journal de Conchyliologie.</em> 47(4): 392-401 [January 23rd, 1900].","Monterosato, T. A. di",1900,Coquilles marines de Chypre,,Journal de Conchyliologie,,,47,4,392-401,,,
"Scott, T. & A. Scott. (1901). On some Entomostraca collected in the Arctic Seas in 1898 by William S. Bruce F.R.S.G.S. Annals and Magazine of Natural History (7)8:337-356, pls. 3-6. (xi-1901)","Scott, T. & A. Scott",1901,On some Entomostraca collected in the Arctic Seas in 1898 by William S. Bruce F.R.S.G.S.,,Annals and Magazine of Natural History,,,8,7,"337-356, pls. 3-6. (xi-1901)",,,
"Dautzenberg, P. (1901). Diagnoses de deux bulimulidés nouveaux provenant du Pérou. <em>Journal de conchyliologie.</em> 49: 131-132.","Dautzenberg, P.",1901,Diagnoses de deux bulimulidés nouveaux provenant du Pérou,,Journal de conchyliologie,,,49,,131-132,,,
"Dautzenberg, P. & Bernier, J. (1901). Description d'un Bulimulidé nouveau provenant de la Nouvelle-Calédonie. <em>Journal de Conchyliologie.</em> 49 (3): 215-216.","Dautzenberg, P. & Bernier, J.",1901,Description d'un Bulimulidé nouveau provenant de la Nouvelle-Calédonie,,Journal de Conchyliologie,,,49,3,215-216,,,
"Walker, A.O. (1901). Contributions to the Malacostracan fauna of the Mediterranean. <em>The Journal of the Linnean Society of London. Zoology.</em> 28(182): 290-307, plate 27.","Walker, A.O.",1901,Contributions to the Malacostracan fauna of the Mediterranean.,,The Journal of the Linnean Society of London. Zoology,,,28,182,"290-307, plate 27",,,
"Whitelegge, T. (1902). Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum. <em>Records of the Australian Museum.</em> 4 (7): 274-288.","Whitelegge, T.",1902,Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum.,,Records of the Australian Museum,,,4,7,274-288,,,
"Scott, T. (1902). Notes on gatherings of Crustacea collected by the Fishery Steamer 'Garland' and the steam trawlers 'Star of Peace' and 'Star of Hope', of Aberdeen, during the year 1901. Annual Report of the Fishery Board for Scotland, Edinburgh 20(3):447-484, pls. 22-25.","Scott, T.",1902,"Notes on gatherings of Crustacea collected by the Fishery Steamer 'Garland' and the steam trawlers 'Star of Peace' and 'Star of Hope', of Aberdeen, during the year 1901.",,Report of the Fishery Board for Scotland,,,20,3,"447-484, pls. 22-25",,,
"Scott, T. (1902). Observations on the food of fishes. <em>Annual Report of the Fishery Board for Scotland.</em> 20 (3):486-538.","Scott, T.",1902,Observations on the food of fishes.,,Annual Report of the Fishery Board for Scotland,,,20,3,486-538,,,
"Loppens, K. (1902). Petricola pholadiformis L. <em>Bull. Séances Soc. (R.) Malacol. Belg.</em> XXXVII: XLI-XLII.","Loppens, K.",1902,Petricola pholadiformis L.,,Bull. Séances Soc. (R.) Malacol. Belg.,,,XXXVII,,XLI-XLII,,,
Dautzenberg P. (1902). Description de Mollusques nouveaux provenant de l'ile Obi (Moluques). <em>Le Naturaliste.</em> 24: 247-248.,Dautzenberg P.,1902,Description de Mollusques nouveaux provenant de l'ile Obi (Moluques).,,Le Naturaliste,,,24,,247-248,,,
"Thum, E. (1903). Bericht über eine Sammlung trockener Chalineen-Skelete aus dem Brüsseler Museum. <em>Annales de la Societé Royale Zoologique et Malacologique de Belgique.</em> 38: 9-12.","Thum, E.",1903,Bericht über eine Sammlung trockener Chalineen-Skelete aus dem Brüsseler Museum.,,Annales de la Societé Royale Zoologique et Malacologique de Belgique,,,38,,9-12,,,
"Dollo, L. (1904). Poissons. <em>In: Résultats du Voyage du S.Y. Belgica en 1897-1898-1899 sous le commandement de A. de Gerlache de Gomery: Rapports Scientifiques (1901-1913).</em> Buschmann: Anvers. 240, 6 text fig., 12 pls. pp.","Dollo, L.",1904,Poissons,,In: Résultats du Voyage du S.Y. Belgica en 1897-1898-1899 sous le commandement de A. de Gerlache de Gomery: Rapports Scientifiques (1901-1913),Buschmann,Anvers,,,"240, 6 text fig., 12 pls.",,,
"Tillier, L.; Bavay, A. (1905). Les mollusques testaces du Canal de Suez. <em>Bulletin de la Societe Zoologique de France.</em> 30: 170-181.","Tillier, L.; Bavay, A.",1905,Les mollusques testaces du Canal de Suez,,Bulletin de la Societe Zoologique de France,,,30,,170-181,,,
"Gilson, G. (1906). Recherches sur les deux Pseudocuma de la Mer Flamande: P. longicornis Spence Bate et P. similis G.-O. Sars. <em>Mémoires de la Société Entomologique de Belgique.</em> XII: 77-96.","Gilson, G.",1906,Recherches sur les deux Pseudocuma de la Mer Flamande: P. longicornis Spence Bate et P. similis G.-O. Sars,,Mémoires de la Société Entomologique de Belgique,,,XII,,77-96,,,
"Kofoid, C. A. (1906). Dinoflagellata of the San Diego region. II. On Triposolenia, a new genus of the Dinophysidae. <em>University of California Publications in Zoology.</em> 3(6): 93-116, pls 15-17.","Kofoid, C. A.",1906,"Dinoflagellata of the San Diego region. II. On Triposolenia, a new genus of the Dinophysidae",,University of California Publications in Zoology,,,3,6,"93-116, pls 15-17",,,
"Sars, G.O. (1906). Copepoda Harpacticoida. Parts XIII & XIV. Diosaccidae (continued). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen.</em> 5:157-172, pls. 97-112.","Sars, G.O.",1906,Copepoda Harpacticoida. Parts XIII & XIV. Diosaccidae (continued).,"An Account of the Crustacea of Norway, with short descriptions and figures of all the species",,Bergen Museum,Bergen,,,"157-172, pls. 97-112.",,,
"Sars, G.O. (1907). Mysidae. <em>Trudy Kaspiiskoi Ekspeditsii.</em> 1: 243-313.","Sars, G.O.",1907,Mysidae,,Trudy Kaspiiskoi Ekspeditsii,,,,,243-313,,,
"Clark, A. H. (1907). New genera of recent free crinoids. <em>Smithsonian Miscellaneous Collection.</em> 50(29): 343-364.","Clark, A. H.",1907,New genera of recent free crinoids.,,Smithsonian Miscellaneous Collection,,,50,29,343-364,,,
"Dautzenberg P. (1908). Récolte malacologique de M. Ch. Alluaud en Afrique Orientale (1903-1904). <em>Journal de Conchyliologie.</em> 56: 1-34, plates 1-2.",Dautzenberg P.,1908,Récolte malacologique de M. Ch. Alluaud en Afrique Orientale (1903-1904).,,Journal de Conchyliologie,,,56,,"1-34, plates 1-2",,,
"Walton, C.L. (1908). Notes on some Sagartiidae and Zoanthidae from Plymouth. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 8: 207-214.","Walton, C.L.",1908,Notes on some Sagartiidae and Zoanthidae from Plymouth.,,Journal of the Marine Biological Association of the United Kingdom,,,8,,207-214,,,
"Dautzenberg P. (1908). Description de coquilles nouvelles de diverses provenances et de quelques cas tératologiques. <em>Journal de Conchyliologie.</em> 55(4): 327-341, pls 4-6 [""1907""; published 30 March 1908].",Dautzenberg P.,1908,Description de coquilles nouvelles de diverses provenances et de quelques cas tératologiques,,Journal de Conchyliologie,,,55,,"327-341, pls 4-6",,,
"Sars, G.O. (1909). Copepoda Harpacticoida. Parts XXVII & XXVIII. Cletodidae (concluded), Anchorabolidae, Cylindropsyllidae, Tachidiidae (part). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen.</em> 5:305-336, pls. 209-224.","Sars, G.O.",1909,"Copepoda Harpacticoida. Parts XXVII & XXVIII. Cletodidae (concluded), Anchorabolidae, Cylindropsyllidae, Tachidiidae (part).","An Account of the Crustacea of Norway, with short descriptions and figures of all the species",,Bergen Museum,Bergen,5,,"305-336, pls. 209-224.",,,
"Nutting, C.C. (1910). The Gorgonacea of the Siboga expedition. IV. The Plexauridae. <em>Siboga-Expeditie.</em> 13b(1): 1-20, plates 1-4.","Nutting, C.C.",1910,The Gorgonacea of the Siboga expedition. IV. The Plexauridae.,,Siboga-Expeditie,,,13b,1,"1-20, plates 1-4",,,
"Clark, A. H. (1911). The recent crinoids of the coasts of Africa. <em>Proceedings of the U.S. National Museum.</em> 40:1-51.","Clark, A. H.",1911,The recent crinoids of the coasts of Africa,,Proceedings of the U.S. National Museum,,,40,,1-51,,,
"Tattersall, W. M. (1911). Schizopodous Crustacea from the northeast Atlantic slope. <em>Second supplement. Fisheries, Ireland, Sci. Invest. 1910.</em> II: 1-77, plates I-VIII.","Tattersall, W. M.",1911,Schizopodous Crustacea from the northeast Atlantic slope,,"Second supplement. Fisheries, Ireland, Sci. Invest. 1910",,,II,,"1-77, plates I-VIII",,,
"Sars, G.O. (1911). An account of the Crustacea of Norway, with short descriptions and figures of all the species: V. Copepoda Harpacticoida. <em>Bergens Museum: Bergen.</em> 449, Plates I-CCXXX & suppl. 1-54 pp.","Sars, G.O.",1911,"An account of the Crustacea of Norway, with short descriptions and figures of all the species: V. Copepoda Harpacticoida",,,Bergens Museum,Bergen,,,"449, Plates I-CCXXX & suppl. 1-54 pp.",,,
"Ssaweljev, S. (1912). Zur Kenntnis der freilebenden Nematoden des Kolafjords und des Relictensee Mogilnoje. <em>Travaux de la Société (Impériales) des Naturalistes de Saint-Petersbourg.</em> 42(2-3): 108-126.","Ssaweljev, S.",1912,Zur Kenntnis der freilebenden Nematoden des Kolafjords und des Relictensee Mogilnoje.,,Travaux de la Société (Impériales) des Naturalistes de Saint-Petersbourg,,,42,2-3,108-126,,,
"Sato, C. (1913). Free-swimming Copepoda.(1). Fuyusei-Tokyakurui.(1). <em>Hokkaido Fisheries Research Laboratory, Investigation Reports.</em> 1:1-82, pls. 8.","Sato, C.",1913,Free-swimming Copepoda.(1). Fuyusei-Tokyakurui.(1),,"Hokkaido Fisheries Research Laboratory, Investigation Reports",,,1,,"1-82, pls. 8.",,,
"Lane, C. (1914). Suckered round-worms from India and Ceylon. <em>Indian Journal of Medical Research.</em> 2: 655-669.","Lane, C.",1914,Suckered round-worms from India and Ceylon,,Indian Journal of Medical Research,,,2,,655-669,,,
"Steiner, G. (1915). Freilebende marine Nematoden von der Küste Sumatras. <em>Zool. Jb. (Syst.).</em> 38 (3-4): 223-244.","Steiner, G.",1915,Freilebende marine Nematoden von der Küste Sumatras,,Zool. Jb. (Syst.),,,38,3-4,223-244,,,
"Barroso, M. G. (1917). Notas sobre briozoos. <em>Boletín de la Real Sociedad Española de Historia Natural.</em> 17: 494-499.","Barroso, M. G.",1917,Notas sobre briozoos,,Boletín de la Real Sociedad Española de Historia Natural,,,17,,494-499,,,
"Fauvel, Pierre. (1919). Annélides polychètes nouvelles de l'Afrique Orientale. [2<sup>e</sup> Note.]. <em>Bulletin du Muséum d'Histoire Naturelle, Paris.</em> 25(1): 33-39.","Fauvel, Pierre",1919,Annélides polychètes nouvelles de l'Afrique Orientale. [2<sup>e</sup> Note.],,"Bulletin du Muséum d'Histoire Naturelle, Paris",,,25,1,33-39,,,
"Lyle, L. (1922). Antithamnionella, a new genus of algae. <em>Journal of Botany : British and foreign. Taylor & Co: London.</em> 60(6): 346-350.","Lyle, L.",1922,"Antithamnionella, a new genus of algae",,Journal of Botany : British and foreign,,London,60,6,346-350,,,
"Stauffer, H. (1924). Zur Kenntnis der Nematodengattung Rhanbdogaster. <em>Zoologische Jahrbuecher. Abteilung fuer Systematiks.</em> 49: 119-130.","Stauffer, H.",1924,Zur Kenntnis der Nematodengattung Rhanbdogaster,,Zoologische Jahrbuecher. Abteilung fuer Systematiks,,,49,,119-130,,,
"Fox, H. M. (1924). The Migration of a Red Sea Crab through the Suez Canal. <em>Nature.</em> 113(2846): 714-715.","Fox, H. M.",1924,The Migration of a Red Sea Crab through the Suez Canal,,Nature,,,113,2846,714-715,10.1038/113714b0,,
"Remane, A. (1925). Neue aberrante Gastrotrichen II: Turbanella cornuta nov. spec. und T. hyalina M. Schultze 1853. <em>Zoologischer Anzeiger.</em> 64(11-12): 309-314.","Remane, A.",1925,Neue aberrante Gastrotrichen II: Turbanella cornuta nov. spec. und T. hyalina M. Schultze 1853,,Zoologischer Anzeiger,,,64,11-12,309-314,,,
"Gislén, T. 1926. On the generic types of the ophiurid genus Ophiocentrus Ljungman (Amphiocnida Verrill). Göteborgs Kungliga Vetenskaps- och Vitterhets-Samhälles Handlingar. Fjärde Följden, 30(6), 1-16.","Gislén, T.",1926,On the generic types of the ophiurid genus Ophiocentrus Ljungman (Amphiocnida Verrill). Göteborgs Kungliga Vetenskaps- och Vitterhets-Samhälles Handlingar,,Fjärde Följden,,,30,6,1-16,,,
"Remane, A. (1926). Protodrilidae aus Ost- und Nordsee. <em>Zoologischer Anzeiger.</em> 67(3): 119-125.","Remane, A.",1926,Protodrilidae aus Ost- und Nordsee,,Zoologischer Anzeiger,,,67,3,119-125,,,
"Michaelsen, W. (1926). Oligochaeten aus dem Ryck bei greifswald und von benachbarten Meeresgebieten. <em>Mitteilungen aus dem Hamburgischen Zoologi-schen Museum und Instituut.</em> 42: 21-29.","Michaelsen, W.",1926,Oligochaeten aus dem Ryck bei greifswald und von benachbarten Meeresgebieten,,Mitteilungen aus dem Hamburgischen Zoologi-schen Museum und Instituut,,,42,,21-29,,,
"Beauchamp, P. de. (1927). Rhabdocoeles des sables a diatomees d'Arcachon. II. Autres formes nouvelles ou peu connues. <em>Bulletin de la Société zoologique de France.</em> 52: 386-392.","Beauchamp, P. de",1927,Rhabdocoeles des sables a diatomees d'Arcachon. II. Autres formes nouvelles ou peu connues.,,Bulletin de la Société zoologique de France.,,,52,,386-392,,,
"Canu, F.; Bassler, R. S. (1927). Bryozoaires des iles Hawaï. <em>Bulletin de la Société des Sciences de Seine-et-Oise.</em> 8: 1-67.","Canu, F.; Bassler, R. S.",1927,Bryozoaires des iles Hawaï,,Bulletin de la Société des Sciences de Seine-et-Oise,,,8,,1-67,,,
"Dupuis, M.P. (1927). Faune malacologique de la Belgique: notes concernant la découverte par le Dr. Giltay de deux espèces de mollusques nouveaux pour la faune belge. <em>Ann. Soc. R. Zool. Bel.</em> 58: 31-38.","Dupuis, M.P.",1927,Faune malacologique de la Belgique: notes concernant la découverte par le Dr. Giltay de deux espèces de mollusques nouveaux pour la faune belge.,,Ann. Soc. R. Zool. Bel.,,,58,,31-38,,,
"Yamada, Y. (1928). Report of the biological survey of Mutsu Bay. 9. Marine algae of Mutsu Bay and adjacent waters. II. <em>The Science Reports of the Tohoku University, Fourth series, Biology.</em> 3: 497-534.","Yamada, Y.",1928,Report of the biological survey of Mutsu Bay. 9. Marine algae of Mutsu Bay and adjacent waters. II.,,"The Science Reports of the Tohoku University, Fourth series, Biology",,,3,,497-534,,,
"Schiller, J. (1928). Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales. <em>Archiv für Protistenkunde.</em> 62(1): 119-166, pl. 6.","Schiller, J.",1928,Die planktischen Vegetationen des adriatischen Meeres. C. Dinoflagellata. II Teil. Gymnodiniales,,Archiv für Protistenkunde,,,62,1,"119-166, pl. 6",,,
"Gruvel, A. (1928). Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie. <em>Comptes rendus de la societe de biogeographie.</em> 5(39): 45-46.","Gruvel, A.",1928,Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie.,,Comptes rendus de la societe de biogeographie,,,5,39,45-46,,,
"Remane, A. (1929). Rotatoria. <em>Die Tierwelt der Nord- und Ostsee.</em> 16(7e): 1-156.","Remane, A.",1929,Rotatoria,,Die Tierwelt der Nord- und Ostsee,,,16,7e,1-156,,,
"Chabanaud, P. (1930). Les genres de Poissons Hétérosomates [Pisces Heterosomata] appartenant à la sous-famille des Soleinae. <em>Bull. Inst. Oceanogr. Monaco.</em> 555: 1-21.","Chabanaud, P.",1930,Les genres de Poissons Hétérosomates [Pisces Heterosomata] appartenant à la sous-famille des Soleinae,,Bull. Inst. Oceanogr. Monaco.,,,555,,1-21,,,
"John, C.C. (1931). Cephalodiscus. <em>Discovery Reports, III. University Press: Cambridge.</em> 223-260, plates XXXIII-XXXVIII pp.","John, C.C.",1931,Cephalodiscus,,"Discovery Reports, III. University Press: Cambridge",,,III,,"223-260, plates XXXIII-XXXVIII",,,
"Schulz, E. (1932). Beiträge zur Kenntnis mariner Nematoden aus der Kieler Bucht. <em>Zool. Jahrb. Jena (Syst.).</em> 62: 331-430, 51 figs.","Schulz, E.",1932,Beiträge zur Kenntnis mariner Nematoden aus der Kieler Bucht,,Zool. Jahrb. Jena (Syst.),,,62,,"331-430, 51 figs.",,,
"De Coninck, L. A. (1932). Nieuwe bijdrage tot de kennis der vrijlevende nematoden van België [New contribution to the knowledge of free-living nematodes of Belgium]. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 8(7): 1-30.","De Coninck, L. A.",1932,Nieuwe bijdrage tot de kennis der vrijlevende nematoden van België [New contribution to the knowledge of free-living nematodes of Belgium],,Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,,,8,7,1-30,,,
"Adam, W. (1933). Notes sur les Céphalopodes: 3. Les Céphalopodes du sud de la mer du Nord [Notes on the cephalopods: 3. The cephalopods of the southern North Sea]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 9 (46): 1-45.","Adam, W.",1933,Notes sur les Céphalopodes: 3. Les Céphalopodes du sud de la mer du Nord [Notes on the cephalopods: 3. The cephalopods of the southern North Sea],,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,9,46,1-45,,,
